text,postUrl,feedbackDate,postCaption,postTimeStamp,model,feedbackPlatform,isComment,Source,relevanceLabel,positiveTopicClass,negativeTopicClass,primaryPositiveAspect,primaryNegativeAspect,sentiment,feedbackRating
#espresso #coffee #lavazza #lavazzacoffee:hot_beverage: #lavazzacoffee:hot_beverage: #lavazzaamodomio #lavazzaespresso #coffeeholic #coffeelover #lebanon #lebanese #beirut #italy #italian,https://www.instagram.com/p/CryJTUDq8Ev,2023-05-03 13:59:46+00:00,"A MODO MIO TINY Espresso on the inside, cheerfulness on the outside. That's what the espresso machine Tiny by Lavazza is. It will bring life to your coffee corner. With it in the house, every espresso is a good opportunity to be among friends. #lavazza",03/05/2023 15:58:43,tinyeco,Instagram,True,instagram.com,1.0,Brand Awareness,NONE,NONE,NONE,Neutral,
:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::face_savoring_food::face_savoring_food::brown_heart::brown_heart::hot_beverage::hot_beverage::white_heart::white_heart::star-struck::star-struck:,https://www.instagram.com/reel/Crvz_WspzKu,2023-05-06 14:23:07+00:00,"Iced Cinnamon Dolce Latte I knew not to froth my cold foam in the tiny espresso shot glass anyways! What I used - 2 starbucks blonde espresso pods - 1 - 2 tsps of Cinnamon Dolce syrup (Jordan’s skinny syrups) - creamer - heavy whipping cream - ice Cold Foam: - 1/3 cup of heavy cream - 1-2 tbsp creamer or milk - 1/2 tsp cinnamon dolce syrup Recipe 1. Brew your espresso shots and add both your syrup and espresso to your drinking glass. Mix together well. 2. Next, add your ice and then milk (or creamer) to your coffee. Add your milk/creamer if preferred. 3. Froth your heavy cream, creamer or milk, and syrup until you have a thick consistency. 4. Add frothed milk to your drinking glass and enjoy! • • • • • • • • • • • • • • • #thecoffeegirly #pinterest #pinterestinspired #coffee #coffeelover #coffeeaddict #coffeegram #coffeebar #nespressovertuo #icedcoffee #icedcoffeelovers #morning #morningroutine #morningcoffee #vlog #dailyvlog #icedcoffeelovers #nespresso #vertuonext #icedcoffeerecipes #coffeeaesthetic",02/05/2023 18:16:47,tinyeco,Instagram,True,instagram.com,1.0,Coffee Quality,NONE,NONE,NONE,Positive,
:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:,https://www.instagram.com/reel/Cr9vl0BBmjl,2023-05-10 15:22:54+00:00,#darkaesthetic with #nespresso to start your day . I dont think that tiny #espresso mug gonna failed you . . . . . . #homeinterior #homedecor #homecafe #bohodecor #cafecorner #depok24jam #cafeteller #coffeebreak #proudofyourlocalcoffeeshop #masfotokopi #coffeetomotodidepok,08/05/2023 04:06:40,tinyeco,Instagram,True,instagram.com,1.0,Coffee Quality,NONE,NONE,NONE,Positive,
Gila if the vibes are :red_heart::red_heart::red_heart:,https://www.instagram.com/reel/Cr9vl0BBmjl,2023-05-09 07:10:33+00:00,#darkaesthetic with #nespresso to start your day . I dont think that tiny #espresso mug gonna failed you . . . . . . #homeinterior #homedecor #homecafe #bohodecor #cafecorner #depok24jam #cafeteller #coffeebreak #proudofyourlocalcoffeeshop #masfotokopi #coffeetomotodidepok,08/05/2023 04:06:40,tinyeco,Instagram,True,instagram.com,1.0,NONE,NONE,NONE,NONE,Neutral,
Ci sono!! :smiling_face_with_heart-eyes:,https://www.instagram.com/p/C9pw2JrN4ky,2024-07-29 10:59:27+00:00,"FANTASY FOOTBALL PROFESSION FANTASY TRAINER PRIZE MONEY OF 12,000 EUROS 11 COMPETITIONS AND MANY PRIZES UP FOR GRABS REGISTRATIONS OFFICIALLY OPEN GAME RULES 260 SQUAD CREDITS (3-8-8-6) 30 SUBSTITUTIONS AVAILABLE YES DEFENSE MODIFIER YES UNBEATABLE GOALKEEPER NO MODULE CHANGE NO CAPTAIN'S BONUS NO FAIR PLAY BONUS 5 SUBSTITUTIONS ALLOWED LONG BENCH PRIZE MONEY OF 12,000 EUROS PRIZES GENERAL RANKING 1st Piaggio Medley 125 2nd Hisense 100-inch TV 3rd Mida gioielli &quot;Tennis&quot; bracelet (value 1700 Euro)/ or / Gama holiday homes 4 Days All-inclusive (for 2 people) 4th iPhone 15 (128 GB) 5th Intex Jacuzzi 6 seats 6th Samsung TV 55 inches 7th Beats solo 4 headphones 8th Lavazza LM840 Tiny eco 9th Xiaomi redmi watch 4 10th JBL Wave 200tws PRIZES OTHER COMPETITIONS Champions League (Play Station 5) Europa League (Nintendo Switch Oled) Conference League (Samsung Galaxy Watch 6) The Immortal (Lenovo Tablet Pen M11) Squid PF cup (Samsusng Galaxy Buds 2) The Big Battle (JBL portable speaker) The Last Chance (Amazon voucher 100 euros) Parachute Cup (Amazon voucher 100 euros) Rat Race (Amazon voucher 100 euros) Super PF Cup (Amazon voucher 100 euros) HIGHEST SCORE IN THE 38 DAYS (100 euro Amazon voucher) WINTER CHAMPION (250 euro Amazon voucher) FOR INFO AND COMPLETE RULES CONTACT US ON INSTAGRAM #fantasyfootball #football #sport #bonus #goal #prizes #footballers #reel #post #instagram #book #tiktok #photo #squidgame #cup #rules",20/07/2024 19:16:12,tinyeco,Instagram,True,instagram.com,1.0,NONE,NONE,NONE,NONE,Positive,
Is the offer still available?,https://www.instagram.com/p/CjTWnh7tzHj,2022-12-16 09:28:43+00:00,Super Offer for coffee lovers! Enjoy a real Italian espresso at home. The LAVAZZA tiny 220-240V coffee espresso machine comes 47% cheaper for all SPAR customers. Good luck! #spar #interspar #expresscoffee #lavazza #lavazzacoffee #coffee,04/10/2022 20:47:28,tinyeco,Instagram,True,instagram.com,1.0,NONE,NONE,NONE,NONE,Neutral,
Sorry but I can't figure out how to remove the water tank,https://www.instagram.com/p/CjkVnWOtLf3,2023-09-26 11:47:10+00:00,"Small, easy and colorful ... the new @lavazzaofficial in my own way tiny eco Come and discover it in all the monster points of sale, we are waiting for you #lavazza #coffee #goodmorning #coffebreak #ilgustodelcaffèdiandreataranto",11/10/2022 11:05:48,tinyeco,Instagram,True,instagram.com,1.0,NONE,Machine Performance,NONE,NONE,Negative,
That Lavazza coffee :hot_beverage: tho :clapping_hands::red_heart::red_heart:,https://www.instagram.com/p/C0oyVRYo9VY/,2023-12-09 23:16:12+00:00,":seedling: Embracing sustainability with my morning brew! :hot_beverage: The Lavazza A Modo Bio Tiny Eco is more than just a coffee machine; it’s a conscious choice! :recycling_symbol: Crafted from recycled plastic, it’s stylish, eco-friendly, and makes a mean cup of coffee. :hot_beverage: Let’s brew responsibly! @lavazzauk #SustainableSips #EcoFriendlyBrew #LavazzaTinyEco :herb::globe_showing_Europe-Africa: Big up @ned.farr for the :camera_with_flash: :fire:",2023-12-09T15:27:24.000Z,tinyeco,Instagram,True,instagram.com,1.0,"Coffee Quality, Brand Awareness",NONE,Lavazza coffee,NONE,Neutral,
Decent coffee can’t lie! :hot_beverage:,https://www.instagram.com/p/C0oyVRYo9VY/,2023-12-09 17:10:43+00:00,":seedling: Embracing sustainability with my morning brew! :hot_beverage: The Lavazza A Modo Bio Tiny Eco is more than just a coffee machine; it’s a conscious choice! :recycling_symbol: Crafted from recycled plastic, it’s stylish, eco-friendly, and makes a mean cup of coffee. :hot_beverage: Let’s brew responsibly! @lavazzauk #SustainableSips #EcoFriendlyBrew #LavazzaTinyEco :herb::globe_showing_Europe-Africa: Big up @ned.farr for the :camera_with_flash: :fire:",2023-12-09T15:27:24.000Z,tinyeco,Instagram,True,instagram.com,1.0,Coffee Quality,NONE,Decent coffee,NONE,Positive,
Price plz:strawberry:,https://www.instagram.com/p/CsawK9iqAo_,2023-09-29 14:02:27+00:00,"A MODO MIO TINY Espresso on the inside, cheerfulness on the outside. That's what the espresso machine Tiny by Lavazza is. It will bring life to your coffee corner. With it in the house, every espresso is a good opportunity to be among friends. #lavazzalove #coffeebreak #morningfuel #espresso #coffee #beans #capsule #machine #lavazza #lavazzacoffee #lavazzacoffee #lavazzaamodomio #lavazzaespress #coffeeholic #coffeelover #lebanon #lebanese #beirut #italy #italian #technology",19/05/2023 10:28:00,tinyeco,Instagram,True,instagram.com,1.0,NONE,Price & worth,NONE,NONE,Neutral,
Try it once you will get in love with it :red_heart:,https://www.instagram.com/p/CsawK9iqAo_,2023-06-12 19:57:44+00:00,"A MODO MIO TINY Espresso on the inside, cheerfulness on the outside. That's what the espresso machine Tiny by Lavazza is. It will bring life to your coffee corner. With it in the house, every espresso is a good opportunity to be among friends. #lavazzalove #coffeebreak #morningfuel #espresso #coffee #beans #capsule #machine #lavazza #lavazzacoffee #lavazzacoffee #lavazzaamodomio #lavazzaespress #coffeeholic #coffeelover #lebanon #lebanese #beirut #italy #italian #technology",19/05/2023 10:28:00,tinyeco,Instagram,True,instagram.com,1.0,NONE,NONE,NONE,NONE,Positive,
price please and how much the capsule intenso,https://www.instagram.com/p/CsawK9iqAo_,2023-06-18 10:14:56+00:00,"A MODO MIO TINY Espresso on the inside, cheerfulness on the outside. That's what the espresso machine Tiny by Lavazza is. It will bring life to your coffee corner. With it in the house, every espresso is a good opportunity to be among friends. #lavazzalove #coffeebreak #morningfuel #espresso #coffee #beans #capsule #machine #lavazza #lavazzacoffee #lavazzacoffee #lavazzaamodomio #lavazzaespress #coffeeholic #coffeelover #lebanon #lebanese #beirut #italy #italian #technology",19/05/2023 10:28:00,tinyeco,Instagram,True,instagram.com,1.0,NONE,NONE,NONE,NONE,Neutral,
Just Love it :hot_beverage:,https://www.instagram.com/p/CteF14foKFM,2023-06-17 10:00:56+00:00,Lavazza’s tiny companion. Small in size but big on flavor. Order your coffee machine on our website or by calling us on 03 398 558. #lavazzalove #coffeebreak #morningfuel #espresso #coffee #beans #capsule #machine #lavazza #lavazzacoffee #lavazzacoffee #lavazzaamodomio #lavazzaespress #coffeeholic #coffeelover #lebanon #lebanese #beirut #italy #italian #technology,14/06/2023 14:06:28,tinyeco,Instagram,True,instagram.com,1.0,NONE,NONE,NONE,NONE,Positive,
Love this coffee :fire:,https://www.instagram.com/p/CtHIIpUILrk,2023-06-12 19:53:56+00:00,"Experience the rich and creamy taste of the Decremosa capsule perfectly brewed by the Tiny coffee machine. Don’t miss out on this incredible coffee experience! Lavazza A Modo Mio Tiny Coffee Machine available in Red, Cyan, Black and White. #lavazzalove #coffeebreak #morningfuel #espresso #coffee #beans #capsule #machine #lavazza #lavazzacoffee #lavazzacoffee #lavazzaamodomio #lavazzaespress #coffeeholic #coffeelover #lebanon #lebanese #beirut #italy #italian #technology",05/06/2023 16:03:58,tinyeco,Instagram,True,instagram.com,1.0,Coffee Quality,NONE,Love this coffee,NONE,Positive,
"Practical and good coffee, I'm sorry they don't make ecocapsules and over time I noticed a bad smell from where it dispenses water. I'll try a way to disinfect the part but in my opinion it's a material that retains humidity.",https://www.youtube.com/watch?v=ga2vKr0Af7k&t=26s&ab_channel=TRONY,2024-11-02 08:44:01+00:00,"Lavazza A Modo Mio Tiny is the best way to start your day! In its small size, Tiny is a great Lavazza A Modo Mio coffee machine.",2022-12-21T16:07:41Z,tinyeco,YouTube,True,youtube.com,1.0,"Coffee Quality, Design and Materials","Capsules and Compatibility, Maintenance and Durability",Good coffee,NONE,Negative,
"the machine would also be fine but these luminaries.... they made a waste water container pity.!!!! every time you make coffee a little water is thrown away,. in the old ones it went into a container below and after 15 20 coffees it was thrown away. this one instead already after the third coffee comes out. but I say how much the fuck did it take to make the bigger container.???? BIG FAILURE",https://www.youtube.com/watch?v=ga2vKr0Af7k&t=26s&ab_channel=TRONY,2024-06-24 18:04:38+00:00,"Lavazza A Modo Mio Tiny is the best way to start your day! In its small size, Tiny is a great Lavazza A Modo Mio coffee machine.",2022-12-21T16:07:41Z,tinyeco,YouTube,True,youtube.com,1.0,NONE,"Machine Performance, Maintenance and Durability",NONE,NONE,Negative,
ok but where does the waste water end up????,https://www.youtube.com/watch?v=ga2vKr0Af7k&t=26s&ab_channel=TRONY,2024-05-28 17:09:24+00:00,"Lavazza A Modo Mio Tiny is the best way to start your day! In its small size, Tiny is a great Lavazza A Modo Mio coffee machine.",2022-12-21T16:07:41Z,tinyeco,YouTube,True,youtube.com,1.0,NONE,NONE,NONE,NONE,Neutral,
"It's a piece of crap, it has a very small tank, not having a drawer for the drops it leaks water continuously, after a year it blocked, never again",https://www.youtube.com/watch?v=ga2vKr0Af7k&t=26s&ab_channel=TRONY,2024-05-18 21:59:00+00:00,"Lavazza A Modo Mio Tiny is the best way to start your day! In its small size, Tiny is a great Lavazza A Modo Mio coffee machine.",2022-12-21T16:07:41Z,tinyeco,YouTube,True,youtube.com,1.0,NONE,"Machine Performance, Maintenance and Durability, Design and Materials",NONE,NONE,Negative,
Truly a great coffee machine,https://www.youtube.com/watch?v=ga2vKr0Af7k&t=26s&ab_channel=TRONY,2024-01-24 10:30:37+00:00,"Lavazza A Modo Mio Tiny is the best way to start your day! In its small size, Tiny is a great Lavazza A Modo Mio coffee machine.",2022-12-21T16:07:41Z,tinyeco,YouTube,True,youtube.com,1.0,NONE,NONE,NONE,NONE,Positive,
By now the word eco-sustainable is a joke. Use capsules. The moka is the only sustainable one. And the compostable capsules inside the composter when after 1 year they were basically healthy but dirty with compost were still whole. We make a better impression by not using inappropriate terms like compostable and eco-sustainable.:grinning_face_with_sweat::face_with_tears_of_joy:,https://www.youtube.com/watch?v=ga2vKr0Af7k&t=26s&ab_channel=TRONY,2023-04-20 14:07:04+00:00,"Lavazza A Modo Mio Tiny is the best way to start your day! In its small size, Tiny is a great Lavazza A Modo Mio coffee machine.",2022-12-21T16:07:41Z,tinyeco,YouTube,True,youtube.com,1.0,NONE,Environmental Impact,NONE,NONE,Negative,
But is the tiny non eco out of production?,https://www.youtube.com/watch?v=ga2vKr0Af7k&t=26s&ab_channel=TRONY,2023-03-17 01:15:40+00:00,"Lavazza A Modo Mio Tiny is the best way to start your day! In its small size, Tiny is a great Lavazza A Modo Mio coffee machine.",2022-12-21T16:07:41Z,tinyeco,YouTube,True,youtube.com,1.0,NONE,NONE,NONE,NONE,Neutral,
A great coffee machine,https://www.youtube.com/watch?v=ga2vKr0Af7k&t=26s&ab_channel=TRONY,2022-12-21 16:16:09+00:00,"Lavazza A Modo Mio Tiny is the best way to start your day! In its small size, Tiny is a great Lavazza A Modo Mio coffee machine.",2022-12-21T16:07:41Z,tinyeco,YouTube,True,youtube.com,1.0,NONE,NONE,NONE,NONE,Positive,
Wtf was that :face_with_tears_of_joy::face_with_tears_of_joy: that’s not a espresso,https://www.youtube.com/watch?v=Jdw0B7HyPqI&ab_channel=HowToKillAnHour,2024-07-29 11:54:14+00:00,"Coffee whilst helping the environment? Marcus takes a closer look! Gear List (Affiliate links): Canon 650D (x2) Canon 77D - Rode Wireless Go II - https://amzn.to/3gvH8a1 Elgato Key Light - https://amzn.to/3mkIAiI Elgato Stream Deck XL - https://amzn.to/3Eldqhq Hue Centris - https://amzn.to/3qh57OF Hue Light Strip 4 - https://amzn.to/33AEc8y Hue HDMI Sync - https://amzn.to/326sO4c Hue Play Bars - https://amzn.to/3siokSB Hue Smart Plug - https://amzn.to/3ebD4KM Keep up to date with everything How To Kill An Hour by signing up to our newsletter by clicking here: http://www.howtokillanhour.com/news Our website is here http://www.howtokillanhour.com Our podcast is here http://www.howtokillanhour.com/shows Twitter: https://twitter.com/HowTokillAnHour Facebook: https://facebook.com/HowTokillAnHour Instagram: https://instagram.com/HowToKillAnHour Tik Tok: https://www.tiktok.com/@howtokillanhour How To Kill An Hour is produced by BPZ Entertainment and it's presenters are affiliated with BBC Radio 1, BBC Radio 1Xtra, KISS FM and Capital Xtra.",2023-12-11T08:00:09Z,tinyeco,YouTube,True,youtube.com,1.0,NONE,Coffee Quality,NONE,NONE,Negative,
"the machine would also be fine but these luminaries.... they made a waste water container pity.!!!! every time you make coffee a little water is thrown away,. in the old ones it went into a container below and after 15 20 coffees it was thrown away. this one instead already after the third coffee comes out. but I say how much the fuck did it take to make the bigger container.???? BIG FAILURE",https://www.youtube.com/watch?v=Jdw0B7HyPqI&ab_channel=HowToKillAnHour,2024-06-24 18:04:22+00:00,"Coffee whilst helping the environment? Marcus takes a closer look! Gear List (Affiliate links): Canon 650D (x2) Canon 77D - Rode Wireless Go II - https://amzn.to/3gvH8a1 Elgato Key Light - https://amzn.to/3mkIAiI Elgato Stream Deck XL - https://amzn.to/3Eldqhq Hue Centris - https://amzn.to/3qh57OF Hue Light Strip 4 - https://amzn.to/33AEc8y Hue HDMI Sync - https://amzn.to/326sO4c Hue Play Bars - https://amzn.to/3siokSB Hue Smart Plug - https://amzn.to/3ebD4KM Keep up to date with everything How To Kill An Hour by signing up to our newsletter by clicking here: http://www.howtokillanhour.com/news Our website is here http://www.howtokillanhour.com Our podcast is here http://www.howtokillanhour.com/shows Twitter: https://twitter.com/HowTokillAnHour Facebook: https://facebook.com/HowTokillAnHour Instagram: https://instagram.com/HowToKillAnHour Tik Tok: https://www.tiktok.com/@howtokillanhour How To Kill An Hour is produced by BPZ Entertainment and it's presenters are affiliated with BBC Radio 1, BBC Radio 1Xtra, KISS FM and Capital Xtra.",2023-12-11T08:00:09Z,tinyeco,YouTube,True,youtube.com,1.0,NONE,Maintenance and Durability,NONE,NONE,Negative,
"If you want to start a coffee over 80 ml, start watching ""Lord of the Rings"", maybe your coffee will be ready before the King returns... More seriously, “a modo mio” is typically made for the taste of Italian coffee (between 35 and 50 ml volume); There are many machines for brewing larger cups on the market, mainly those with built-in grinders. I have one of each in my kitchen, for totally different coffees...",https://www.youtube.com/watch?v=Jdw0B7HyPqI&ab_channel=HowToKillAnHour,2024-06-18 08:16:18+00:00,"Coffee whilst helping the environment? Marcus takes a closer look! Gear List (Affiliate links): Canon 650D (x2) Canon 77D - Rode Wireless Go II - https://amzn.to/3gvH8a1 Elgato Key Light - https://amzn.to/3mkIAiI Elgato Stream Deck XL - https://amzn.to/3Eldqhq Hue Centris - https://amzn.to/3qh57OF Hue Light Strip 4 - https://amzn.to/33AEc8y Hue HDMI Sync - https://amzn.to/326sO4c Hue Play Bars - https://amzn.to/3siokSB Hue Smart Plug - https://amzn.to/3ebD4KM Keep up to date with everything How To Kill An Hour by signing up to our newsletter by clicking here: http://www.howtokillanhour.com/news Our website is here http://www.howtokillanhour.com Our podcast is here http://www.howtokillanhour.com/shows Twitter: https://twitter.com/HowTokillAnHour Facebook: https://facebook.com/HowTokillAnHour Instagram: https://instagram.com/HowToKillAnHour Tik Tok: https://www.tiktok.com/@howtokillanhour How To Kill An Hour is produced by BPZ Entertainment and it's presenters are affiliated with BBC Radio 1, BBC Radio 1Xtra, KISS FM and Capital Xtra.",2023-12-11T08:00:09Z,tinyeco,YouTube,True,youtube.com,1.0,NONE,Machine Performance,NONE,NONE,Neutral,
You can't have a disgusting coffee anymore,https://www.youtube.com/watch?v=Jdw0B7HyPqI&ab_channel=HowToKillAnHour,2024-06-12 15:51:30+00:00,"Coffee whilst helping the environment? Marcus takes a closer look! Gear List (Affiliate links): Canon 650D (x2) Canon 77D - Rode Wireless Go II - https://amzn.to/3gvH8a1 Elgato Key Light - https://amzn.to/3mkIAiI Elgato Stream Deck XL - https://amzn.to/3Eldqhq Hue Centris - https://amzn.to/3qh57OF Hue Light Strip 4 - https://amzn.to/33AEc8y Hue HDMI Sync - https://amzn.to/326sO4c Hue Play Bars - https://amzn.to/3siokSB Hue Smart Plug - https://amzn.to/3ebD4KM Keep up to date with everything How To Kill An Hour by signing up to our newsletter by clicking here: http://www.howtokillanhour.com/news Our website is here http://www.howtokillanhour.com Our podcast is here http://www.howtokillanhour.com/shows Twitter: https://twitter.com/HowTokillAnHour Facebook: https://facebook.com/HowTokillAnHour Instagram: https://instagram.com/HowToKillAnHour Tik Tok: https://www.tiktok.com/@howtokillanhour How To Kill An Hour is produced by BPZ Entertainment and it's presenters are affiliated with BBC Radio 1, BBC Radio 1Xtra, KISS FM and Capital Xtra.",2023-12-11T08:00:09Z,tinyeco,YouTube,True,youtube.com,1.0,NONE,Coffee Quality,NONE,NONE,Negative,
